Type,AGB,Mean_AGB_Carbon_Secure,Low_AGB_Carbon_Secure,Hi_AGB_Carbon_Secure,Mean_AGB_Carbon_Restor,Low_AGB_Carbon_Restor,Hi_AGB_Carbon_Restor,Mean_SOC_Carbon_Secure,Low_SOC_Carbon_Secure,Hi_SOC_Carbon_Secure,Mean_SOC_Carbon_Restor,Low_SOC_Carbon_Restor,Hi_SOC_Carbon_Restor,typology_class,total_AGB_MgC,total_SOC_MgC,total_carbon_MgC,AGB_ha,carbon_density,restoration_efficiency,AGB_uncertainty,SOC_uncertainty
Delta_8746,57856.5405470069,5419.87911469229,5339.73518051152,5500.02304887307,13106.3637338648,9313.51547360651,18595.9964309081,310430.468151243,309835.703175889,311025.233126597,124657.406666426,78098.1151118944,165582.246679707,Delta,18526.242848557093,435087.874817669,453614.11766622606,57856.5405470069,7.8403256291771655,2.3811269926925793,160.28786836154995,1189.5299507080344
Delta_8747,75302.3691400865,14554.6631393195,14509.663131228,14599.663147411,9557.9084830276,6127.77466229232,16400.7335610605,205373.16522104,205199.317452726,205547.012989355,15032.9795862025,0.0,28210.6967968663,Delta,24112.571622347103,220406.1448072425,244518.7164295896,75302.3691400865,3.2471583460369824,0.32656194419969947,90.00001618299939,347.6955366289767
Delta_8748,114198.475394765,8918.12066808093,8903.20469778554,8933.03663837632,27649.3731380768,20404.6964248827,38013.5488796669,129848.613605263,129637.63898358,130059.588226947,71108.9757464148,49592.7913496845,90011.0277425385,Delta,36567.49380615773,200957.5893516778,237525.08315783553,114198.475394765,2.0799321736717684,0.8647956861341671,29.831940590778686,421.94924336700933
Delta_8749,5604.56319946627,1744.08402204191,1738.61414863799,1749.55389544582,50.5531600591858,0.0,557.828778258089,13884.7965989547,13877.5477138954,13892.045484014,0.0,0.0,0.0,Delta,1794.6371821010957,13884.7965989547,15679.433781055795,5604.56319946627,2.7976192297285487,0.009020000000000007,10.939746807830034,14.497770118599874
Delta_8750,361524.773940733,29493.0583225108,29427.1585011034,29558.9581439184,86270.7895410513,63455.5930145978,119145.952490731,665495.948017501,665091.35668454,665900.539350462,348236.169484528,240930.328257639,442269.253491564,Delta,115763.8478635621,1013732.117502029,1129495.9653655912,361524.773940733,3.1242560587307264,1.2018732611027392,131.79964281499997,809.1826659219805
Delta_8751,114634.586821279,33039.1022017226,32987.1415557723,33091.0628476729,3668.03884431899,1820.69468347116,14030.1091019385,130430.244380031,130041.956101995,130818.532658068,1632.12494166481,0.0,3069.34452297812,Delta,36707.14104604159,132062.36932169582,168769.5103677374,114634.586821279,1.4722390078559575,0.046235293666186617,103.92129190060223,776.5765560729924
Delta_8753,47205.3086389685,14319.3783730044,14304.7948852927,14333.9618607161,796.233506279676,256.19839493405,5059.29971760747,50553.7335355678,50526.7610325381,50580.7060385975,211.901786542046,0.0,397.527834168121,Delta,15115.611879284075,50765.63532210985,65881.24720139393,47205.3086389685,1.3956321672475676,0.021356396597934653,29.16697542339898,53.94500605939538
Delta_8754,135258.994553487,28559.8405487879,28508.8791470339,28610.8019505418,14751.4420971841,9351.18061891129,26999.8954699737,137736.922217713,137692.461046841,137781.383388585,8334.82104379561,0.0,15632.8340726506,Delta,43311.282645971994,146071.7432615086,189383.02590748062,135258.994553487,1.4001510696768544,0.17068190708641154,101.92280350790315,88.92234174400801
Delta_8757,349.599121727709,47.300761169759,46.7871564223156,47.8143659172024,64.6443735986706,42.108440780084,97.2225440316448,658.905836929449,654.91326500769,662.898408851208,78.6753238124716,0.0,148.410091533853,Delta,111.9451347684296,737.5811607419206,849.5262955103502,349.599121727709,2.4300012291564554,0.40995439777668863,1.0272094948868045,7.985143843518017
Delta_8758,93862.2479027533,29201.466049258,29173.0418747492,29229.8902237669,854.164351682613,5.20584166823263,9329.61155530557,63783.8454251614,63754.3686394949,63813.3222108278,2.70538214490313,0.0,5.07493574681905,Delta,30055.630400940612,63786.5508073063,93842.18120824691,93862.2479027533,0.9997862112302363,0.009129013559480086,56.84834901769864,58.95357133289508
