"Type","Mean_SOC_Carbon_Secure","Low_SOC_Carbon_Secure","Hi_SOC_Carbon_Secure","Mean_SOC_Carbon_Restor","Low_SOC_Carbon_Restor","Hi_SOC_Carbon_Restor"
"Estuary_7739",9071.79304329939,9046.95121235082,9096.63487424795,2672.39336466313,1415.79255314924,3778.836985029
"Estuary_776",33998.9460907607,33951.3129810036,34046.5792005177,3918.30377114965,0,7357.11259181429
"Estuary_7831",1653.61464103866,1633.82959059812,1673.3996914792,541.625885208964,303.788137771926,755.446850398036
"Estuary_7843",1207.96464802399,1199.2040563501,1216.72523969789,112.0083647118,7.69529846065068,204.707027204488
"Estuary_7853",900.707788623297,899.334020541552,902.081556705042,100.370370548906,0,188.481480735437
"Estuary_788",65372.945353441,65230.3375103875,65515.5531964944,105.429240724604,0,198.111055110829
"Estuary_7950",18431.7200416504,18355.9813530289,18507.458730272,8463.8226475482,5571.97421543916,11019.1674036258
"Estuary_7953",108745.598111671,108645.694536399,108845.501686942,16387.6952593371,3037.35101428382,28092.5873526465
"Estuary_7972",1837.64193494449,1828.6756699853,1846.60819990369,313.804181125337,83.9051959320641,517.11669521741
"Estuary_7982",124.368220832347,119.627904575397,129.108537089297,11.5320270840166,0.76765286529448,21.7217691817035
"Estuary_7983",1648.72804145183,1643.5465587351,1653.90952416857,925.560617335871,648.924014279053,1169.49142284084
"Estuary_800",12571.4756910586,12465.7441305106,12677.2072516065,0,0,0
"Estuary_8055",5256.35204274596,5224.62236704495,5288.08171844697,627.62412450698,0,1183.89889218962
"Estuary_806",12744.8942821535,12697.0452354902,12792.7433288167,1291.02492176841,0,2429.75982523681
"Estuary_8071",0,0,0,0,0,0
"Estuary_8089",327.778493441114,325.007035866167,330.549951016062,30.3932181277771,2.08557178368266,55.6131290840061
"Estuary_8133",210073.734917642,209830.025205999,210317.444629285,14444.0037897059,1111.1094665263,26139.4467518639
"Estuary_8145",12875.007982411,12815.5562644666,12934.4597003553,1355.53340274197,0,2553.36135434889
"Estuary_8154",51902.9606451041,51788.7814680288,52017.1398221793,23840.5475774872,15726.5675334788,30977.9391809174
"Estuary_8168",48685.6745491261,48589.4092548152,48781.9398434369,5487.46957098284,0,10309.3497079772
"Estuary_8169",46394.747551501,46255.5769972891,46533.9181057128,20213.6657674203,13069.4459093447,26509.7345654333
"Estuary_8181",98746.9234250376,98641.3388875985,98852.5079624767,50893.1823282243,34894.2206814732,64928.9429165384
"Estuary_8228",23053.9102520729,23008.9986857175,23098.8218184284,2752.70570174005,0,5171.37801905113
"Estuary_8304",10018.8238728781,9979.11316575485,10058.5345800013,3556.88836438926,2146.14139316138,4802.78037857827
"Estuary_831",39928.5900989605,39872.6140259365,39984.5661719845,414.614234298381,0,778.491532292198
"Estuary_8328",1416.22329604761,1389.30236475107,1443.14422734415,131.319120734647,8.91516026170447,242.800720300905
"Estuary_835",12892.7426441277,12840.9294750768,12944.5558131786,0,0,0
"Estuary_8354",8552.38135045422,8490.52962075079,8614.23308015765,1021.1798627408,0,1928.55964481141
"Estuary_8360",4032.64182225496,3985.50468327939,4079.77896123053,481.509471314025,0,913.383349529224
"Estuary_843",104298.239549633,104054.875845998,104541.603253267,0,0,0
"Estuary_8450",279375.982811739,279006.217235976,279745.748387503,16656.6479701126,0,31272.5507383243
"Estuary_8460",7148.09455610643,7105.52666935414,7190.66244285872,615.467839770032,0,1160.87444147294
"Estuary_847",10697.535437751,10670.1859437916,10724.8849317104,111.082070601796,0,208.811371573531
"Estuary_8482",6641.98590562875,6621.96151719195,6662.01029406554,3736.11707191617,2621.19310055515,4718.92395829643
"Estuary_851",7.6842232543558,4.97537667890301,10.3930698298086,0,0,0
"Estuary_8542",10044.6124149326,10015.9048377007,10073.3199921645,1573.00597426633,333.67177616514,2664.17911833563
"Estuary_8580",52710.6110401865,52611.6886097126,52809.5334706604,4961.17696675501,1189.40538073509,8275.02099486569
"Estuary_8617",51774.3003538793,51637.5559324171,51911.0447753415,13096.0472480169,6160.2302390811,19201.1929350906
"Estuary_8626",1799.12048196597,1775.45047823589,1822.79048569604,4.36432959114042,0,8.29077860708303
"Estuary_865",15856.5638125452,15827.9920271882,15885.1355979023,1247.43929356175,0,2343.16320389141
"Estuary_868",18089.1359714855,18048.7155481174,18129.5563948537,187.835664654035,0,352.978848811328
"Estuary_874",2418.75532882439,2369.59408070638,2467.91657694239,0,0,0
"Estuary_876",12047.7701012027,12020.2077690863,12075.332433319,473.066244693871,0,889.02844463258
"Estuary_882",9084.58439733851,8988.12151393811,9181.04728073891,0,0,0
"Estuary_891",2942.77663790333,2907.83728146736,2977.7159943393,0,0,0
"Estuary_895",21204.2982522706,21167.8588946404,21240.7376099009,2531.85650773381,0,4755.389017142
"Estuary_897",65656.3452813337,65537.0022130485,65775.6883496189,7839.56361568164,0,14725.9003767804
"Estuary_898",21507.42360558,21424.3449919024,21590.5022192577,0,0,0
"Estuary_9",14936.1736219463,14904.3115477512,14968.0356961415,0,0,0
"Estuary_900",39241.2388903421,39069.5523066958,39412.9254739885,0,0,0
