"Name","Area_2020_km2","Gross_Loss","Restorable_km2","OVERALL_SRE","OVERALL_SCORE_MIN","OVERALL_SCORE_MAX","Min_Score","Max_Score","Total_Fish","Fish","Crab","Bivalve","Shrimp","MeanAGB_Secure","MeanAGB_Restor","MeanSOC_Secure","MeanSOC_Restor","Area_Rank","Proportion_Restorable"
"Cuba",3596.94997376694,382.254189015142,250.653051410123,0.60834252255786,0.399072422457667,0.804,0.562014781068249,0.66834252255786,874143092.098611,420733771.432912,453409320.665698,0,0,160302.505259632,69802.0268803667,5224518.50025607,309752.15937054,11,6.97
"Curaçao",0.444414987440379,0.000923515328972515,0.00062454544661422,0.637167829599706,0.633167829599706,0.641167829599706,0.568721263312523,0.697167829599706,1821.67527585618,883.422104527546,938.25317132863,0,0,0.401624130403391,0.302154549755758,9.86278714864555,1.00248900178449,108,0.14
"Djibouti",7.5163980955372,1.68363569943393,1.68363569943393,0.699096774193548,0.62,0.775096774193548,0.683096774193548,0.759096774193548,20135931.10334,7255342.68019834,29729.4033579417,0,12850859.0197837,2072.39614845016,1820.88368162358,15028.4587867746,1221.93306044162,83,22.4
"Dominica",0.0143003897905963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA
"Dominican Republic",192.006203521368,8.77645573702859,6.86180717924293,0.650985236508424,0.464,0.744,0.60827089158572,0.710985236508423,13464862.875179,6529790.27383178,6935072.60134725,0,0,5018.65953710901,2048.89402099123,139247.339814754,6901.72972251934,52,3.57
"Ecuador",1535.41933379632,150.109546560411,120.224769071037,0.781469249245279,0.565699261353705,0.826019217756124,0.689268901081951,0.816,706485934.736122,72572812.0934092,230125640.366375,403787482.276338,0,85564.3565423531,212705.279808221,1467391.77564587,680947.305269576,26,7.83
"Egypt",2.23537792413573,0.722618257543144,0.722618257543144,0.738,0.672,0.78,0.714,0.798,2416630.77888956,2410130.52648504,6500.2524045248,0,0,1322.6258445863,38.3369810025014,6703.77735754828,0,93,32.33
"El Salvador",370.592343176929,14.8787831039561,14.191352542941,0.716,0.525229521548022,0.862724812230557,0.676585089514705,0.776,41892800.4627033,4081250.92465826,13422852.2317939,24388697.3062511,0,11575.8930776584,19467.6928054076,213329.116489477,47790.0985309737,42,3.83
"Equatorial Guinea",254.665144105547,2.62423695038378,2.51788604741639,0.754645596095843,0.662599098412759,0.808485815276912,0.677579469171914,0.814645596095843,0,0,0,0,0,4224.84241833057,5209.3535037863,58733.1753486938,7913.94473348578,47,0.99
"Eritrea",77.96734430646,17.5998942560829,10.8876063609183,0.715827725437416,0.579827725437416,0.816,0.663967698519516,0.775827725437416,105153215.534992,38289494.8670633,156345.613844422,0,66707375.0540842,12552.7253670694,5850.45579989608,129441.001094096,9791.69156564968,63,13.96
"Fiji",488.143237487508,19.3951091821636,14.9065267714343,0.704237918215613,0.680237918215613,0.728237918215613,0.664237918215613,0.764237918215613,23023695.3238798,22922769.9568319,100925.367047852,0,0,28483.116366963,27835.8565856603,311776.622717087,30286.5638900053,40,3.05
"French Guiana",629.522079144757,123.901354411554,53.845920867319,0.765619593472855,0.515438581721122,0.827965928910481,0.667716287116835,0.825619593472855,27657884.1309868,12047884.3673838,15609999.763603,0,0,84223.7220686121,118180.755130938,995790.247236472,368632.315185605,33,8.55
"French Polynesia",1.25201560780617,0.0265653465677632,0.0197388286919885,0.716489204339112,0.698489204339112,0.734489204339112,0.583929094397329,0.776489204339112,0,0,0,0,0,33.567839931718,58.0084172658099,265.848126642217,98.3345517261405,100,1.58
"French Southern Territories",6.72301757404084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA
"Gabon",1747.98531835653,28.7282068539777,18.0600019296338,0.716183581925784,0.632,0.775707317073171,0.679119657975156,0.776183581925784,0,0,0,0,0,48352.8254876585,45171.3943232345,422809.496437183,40548.7568471572,23,1.03
"Gambia",610.571954882918,23.9648914273746,4.79313732936509,0.69555724852844,0.675384615384615,0.710420032842605,0.663846153846154,0.75555724852844,0,0,0,0,0,3978.49855679414,4216.91531291459,62401.6401328472,6399.38485535491,35,0.79
"Ghana",179.524840093549,39.0936197766839,32.9196413650659,0.68,0.478162343300814,0.728,0.644,0.74,0,0,0,0,0,10732.0568993814,14789.7591946643,639874.036325822,78984.7171820908,54,18.34
"Grenada",1.9301793311446,0.118102712663002,0.118102712663002,0.62,0.596,0.62,0.56,0.68,162783.672486228,80188.7468806337,82594.9256055943,0,0,92.9616880401728,127.04764032157,1894.1797551859,226.170717037123,95,6.12
"Guadeloupe",34.2033750028137,1.25359437933292,1.25359437933292,0.608,0.604,0.632,0.572,0.668,1861904.91005666,902931.480639082,958973.429417577,0,0,577.116349375457,788.725677479791,22474.9038698219,2683.57061132202,71,3.67
"Guam",0.522137686896743,0.0220481685035027,0.0178340527361739,0.747052840223838,0.733052840223838,0.761052840223838,0.598419002616321,0.807052840223838,42628.54710065,22947.8084099254,95.2705328095467,0,19585.4681579151,17.44425316203,40.9306337325814,374.424975742131,176.534065912256,105,3.42
"Guatemala",249.410890450885,15.6427993040718,15.2680600039966,0.807782395164337,0.570765691463371,0.843782395164337,0.706961675691559,0.867782395164337,59260258.5080761,6082278.23609902,19144822.268254,34033158.003723,0,11549.543338894,23971.1285093466,241875.012623282,84559.4747068058,48,6.12
"Guinea",2205.82361217393,132.224187727554,101.630267978123,0.768456300649435,0.733224841913199,0.84714148797151,0.709617329088275,0.768456300649435,0,0,0,0,0,70769.1238193619,115908.920840936,1422919.61481962,331057.888376383,20,4.61
"Guinea-Bissau",2693.76536959058,146.286986813366,120.641167411137,0.760349553113583,0.632,0.830221282921481,0.702236564591189,0.765029136744648,0,0,0,0,0,105752.581664076,171693.20176878,1299161.84970073,304229.829490402,17,4.48
