"Type","AGB","Mean_AGB_Carbon_Secure","Low_AGB_Carbon_Secure","Hi_AGB_Carbon_Secure","Mean_AGB_Carbon_Restor","Low_AGB_Carbon_Restor","Hi_AGB_Carbon_Restor"
"Delta_8766",1267702.53990654,113111.861906758,113064.092115279,113159.631698238,292819.168396716,215890.611347039,407337.893218737
"Delta_8767",239108.455083062,18375.6112496871,18341.8971689376,18409.3253304365,58189.3071524603,43012.9375941585,79903.2212718646
"Delta_8768",3655573.81791903,282101.642929892,281855.072413056,282348.213446729,888449.649305959,657253.350586797,1219247.15818404
"Delta_8769",191211.703887807,57812.3169847105,57785.3291771415,57839.3047922795,3415.58271720414,1170.04418869349,20672.5242033718
"Delta_8770",39926.6962078637,8426.32316791568,8419.29671975663,8433.34961607473,4358.60422480436,3040.43961582111,7966.62981207763
"Delta_8771",37285.2164703204,3211.86591529664,3208.0925356459,3215.63929494737,8727.23325066465,6374.11054031458,12104.5638304894
"Delta_8772",206601.89572585,23912.9229360189,23864.2695748333,23961.5762972044,42243.0700943554,29275.3779482019,61002.4249355445
"Delta_8775",25219.355057092,3386.37901921066,3374.51649969653,3398.24153872479,4689.11066362077,3085.91260206736,6988.29108870215
"Delta_8776",79815.6874890854,6175.38090015924,6171.35784761744,6179.40395270103,19382.4003907208,14342.8645757101,26599.0925330864
"Delta_8779",235227.918618228,35034.569725755,34934.6628534986,35134.4765980114,40287.7620949877,26347.271252799,61680.7129517729
"Delta_8780",146340.062713799,28274.8647009454,28219.2524130656,28330.4769888251,18584.6867806401,12081.8621978267,31847.0757542573
"Delta_8781",3344321.80874508,260051.692409811,259764.133653979,260339.251165643,810833.593968452,599736.672745173,1113721.58672766
"Delta_8782",3479.16294698601,365.578281508658,358.829997783697,372.326565233618,748.484485745732,519.048723580112,1081.91428694465
"Delta_8783",53712.6017396758,9909.71964104227,9872.58629058626,9946.85299149827,7289.59256201933,4693.57272435527,12179.9390922911
"Delta_8784",69080.8856000036,17267.0848545387,17199.2779819095,17334.8917271679,4853.30552343843,2991.82765516383,11127.9292264547
"Delta_8785",92698.5866221424,8135.50171732084,8126.03437465976,8144.96905998192,21547.5127049554,15843.4515368518,29943.730452603
"Delta_8786",1035936.38179946,80144.0034696,80107.9816893609,80180.0252498391,251573.185346404,186100.239905871,345169.718371904
"Delta_8787",85199.5418502382,12822.0105378291,12777.9363222685,12866.0847533898,14459.7347580356,9445.96579449955,22220.8534573162
"Delta_8788",15291.090553177,4699.844355125,4652.70087947757,4746.98783077242,196.515750907796,40.15551111897,1591.57846660984
"Delta_8795",62873.7100301735,10211.248689851,10180.7267934169,10241.7705862851,9921.54199891088,6456.78023216509,15639.3580992653
"Delta_8797",84762.0751212597,26376.2760694846,26354.6948777198,26397.8572612494,765.388005093972,0.576972724110064,8417.80904077311
"Delta_8799",1013.11245553899,107.056254947642,105.654666525065,108.457843370218,217.3524844405,151.376441920208,312.777212411267
"Delta_8801",1249.72725553394,111.049696967087,108.294355961112,113.805037973062,289.125467527436,205.399424718612,411.821502543396
"Delta_8802",54027.1905891007,8101.1389151959,8080.29087811461,8121.98695227719,9198.90778334002,6335.75667703749,14108.3746555023
"Delta_8805",365254.930649954,29105.2814720638,29090.5841885739,29119.9787555537,87852.9998713581,64943.5861353266,120859.994440736
"Delta_8806",15331.7601244465,2482.90260579588,2478.31079540711,2487.49441618465,2426.48030365315,1581.20038868392,3816.4500736861
"Delta_8808",564644.298662581,162522.635062257,162318.720996571,162726.549127943,18282.1158124883,9119.40661395345,69299.8718289431
