"Type","AGB","Mean_AGB_Carbon_Secure","Low_AGB_Carbon_Secure","Hi_AGB_Carbon_Secure","Mean_AGB_Carbon_Restor","Low_AGB_Carbon_Restor","Hi_AGB_Carbon_Restor"
"Estuary_3040",15898.5331717244,4572.53136895958,4567.80066639103,4577.26207152814,518.337937958272,259.300568797229,1954.40555183065
"Estuary_3070",537.412692698649,41.2034311492054,40.6577720814073,41.7490902170035,130.881487179829,95.6653460738995,181.73133388578
"Estuary_3072",28765.4299668525,4348.39426318443,4337.65878305343,4359.12974331544,4862.5840665014,3359.43529511903,7475.63653058006
"Estuary_308",744.21157735543,100.69182641619,99.7845955262939,101.599057306085,137.612162768793,89.8061359736645,206.584749855707
"Estuary_3082",650.036517508027,202.284863883323,200.888397259615,203.681330507031,5.86332938792241,0,64.9418734949954
"Estuary_309",29567.5603123765,4083.73666392903,4078.57307937371,4088.90024848434,5384.09182369705,3538.33052085577,8061.26576947246
"Estuary_3112",327.359978870695,44.291805141205,44.2155368498796,44.3680734325305,60.5321336929802,39.7939831648916,90.2150826461454
"Estuary_3115",9043.55004057088,1135.00631644603,1129.59963854169,1140.41299435036,1760.82884204517,1241.94931917268,2588.83065621286
"Estuary_3118",93130.5088986057,17049.3061574369,17036.344685565,17062.2676293089,12772.0140969856,8254.31940376038,21188.4819793274
"Estuary_3121",4180.73856198548,1301.00403310426,1296.75265199247,1305.25541421606,37.7102618291091,0,416.168392938453
"Estuary_3126",73094.6620163734,14461.0637290512,14451.0240180813,14471.1034400211,8944.57799521177,5731.96986822876,15548.5036949974
"Estuary_3128",285802.367066386,22388.8712954554,22357.8899476761,22419.8526432348,69127.9046628721,51118.0251283686,95038.6092855191
"Estuary_3139",52.7929538919546,7.14288666158146,7.1329913351878,7.15278198797513,9.76194510416133,6.41969220166902,14.5439900422161
"Estuary_3154",4474.16021157375,1385.3020569397,1374.43210186961,1396.17201200979,47.3687844083306,4.81627372312674,454.47638018804
"Estuary_3164",3632.88588411703,1122.70227255233,1105.21435110905,1140.19019399561,40.5841164007839,5.32644007289222,374.006836431829
"Estuary_3184",285989.761584282,22456.3316759418,22382.023872037,22530.6394798467,69120.4498809609,51000.9395474858,95230.8049881943
"Estuary_3191",9103.50876084457,2832.92089128722,2829.31769586427,2836.52408671017,82.1136490228181,0,904.398984168461
"Estuary_3196",26325.8967087172,8192.3557967857,8179.50459864395,8205.20699492745,237.459588312629,0,2616.1529549044
"Estuary_3202",1017.49242688023,316.63346832086,300.367983827813,332.898952813907,9.17778169045972,0,106.141695100086
"Estuary_3207",124004.400931114,20010.5286786897,19998.8855175464,20022.171839833,19696.9205434625,13913.3066308408,30900.0863215847
"Estuary_321",21567.7202696373,6507.06339061078,6500.06172212461,6514.06505909694,399.136316929772,141.490615302182,2347.06743993342
"Estuary_3212",1863.80556705146,256.409333993541,255.685842156971,257.132825830112,340.399846632006,223.390574619567,509.949949408683
"Estuary_3214",2106.82770293171,204.713509828324,203.334259592838,206.09276006381,469.913788927439,334.807738097237,664.396035797848
"Estuary_3242",53146.908132953,10674.7085254467,10657.5397127425,10691.877338151,6343.46292780612,4053.21663260782,11155.2268919788
"Estuary_3261",12128.5137913778,3767.15097260686,3757.20012160184,3777.10182361187,116.52042853023,4.9170624507944,1213.70991578757
"Estuary_3269",460800.492794495,35464.676474708,35415.5601536939,35513.7927957221,112088.249323017,82891.987868056,153865.252647744
"Estuary_3276",3037.60513402882,942.363216746369,938.631224391543,946.095209101195,30.3083232209996,2.00603357652913,305.505411090107
"Estuary_3285",1198.74098341416,373.036206628653,371.86925349194,374.203159765365,10.8126436703957,0,119.311152388957
"Estuary_3288",5883.95958894418,911.80965795155,905.99527844972,917.62403745338,972.293042024266,632.324834929081,1512.61061474084
"Estuary_3293",1864.50728407036,580.216021729854,578.257473448239,582.17457001147,16.8178557023146,0,185.620877394962
"Estuary_3294",848.655732490741,88.8285095346622,86.8632025811325,90.793816488192,182.919542566198,130.472433868768,265.208955967021
"Estuary_3303",78170.0191781862,6502.47765037914,6490.95643067445,6513.99887008384,18528.3441906678,13602.9737961714,25624.6017993221
"Estuary_3307",72776.3033446457,22607.0060728535,22582.2367066518,22631.7754390552,696.694021135514,27.8360744680571,7269.07222520589
"Estuary_331",3351.75787203465,1043.03353219846,1040.85595671017,1045.21110768675,30.2328560057526,0,333.255715494327
"Estuary_3317",8212.57956711064,2555.67263548916,2550.72514925698,2560.62012172134,74.077467695338,0,816.429604027095
"Estuary_3321",968.557828684332,301.405510708277,291.316410238692,311.494611177862,8.73639161473268,0,99.3171224045358
"Estuary_3327",22392.7402458584,6959.853247947,6945.59501157576,6974.11148431824,210.526106179329,5.90267521383025,2234.92046403203
"Estuary_3329",42441.5463145351,12749.0486772474,12735.0417912403,12763.0555632546,841.158868129887,316.96100600457,4674.51641963222
"Estuary_3330",460.155358971183,35.2801113723206,34.2589045774169,36.3013181672244,112.066236123842,80.609187240981,158.017502610271
"Estuary_3351",16001.8097714876,1226.85875517996,1209.83792543621,1243.8795849237,3897.0807517481,2846.67747161462,5414.53466378554
"Estuary_3357",8654.68500960488,2693.25142813894,2689.1622492555,2697.34060702239,78.0652587866361,0,860.021642818732
"Estuary_3358",21904.4938025597,3185.51138720382,3181.64514201433,3189.37763239331,3828.52657331381,2510.68234773903,5811.35658948845
"Estuary_3367",915.407853379459,198.902802366229,198.658486789576,199.147117942882,94.2199463644076,59.439723094411,177.006888471989
"Estuary_3397",75.2316876283383,17.2596774563699,16.73510177028,17.7842531424598,6.83026123910035,4.12940966143707,14.0299972194359
"Estuary_34",261.219593523395,35.3430110037154,35.0272647985182,35.6587572089126,48.302115038411,31.5245383186663,72.5061396581222
"Estuary_3415",8523.45554303155,653.493336484229,649.001187757412,657.985485211047,2075.8023629499,1527.06161825273,2864.17211209514
"Estuary_3418",51082.9716055975,4071.14840520729,4065.31252173158,4076.984288683,12286.1299326211,9047.76275857175,16918.0308065954
"Estuary_343",30449.6996163551,9475.64202361355,9466.84491674682,9484.43913048027,274.656290539523,0,3024.02407058792
"Estuary_3430",2590.44121607084,227.299233888636,225.741399503749,228.857068273522,602.185947909407,440.694297630525,841.572344437672
"Estuary_3442",363.988361905649,49.2476253658343,47.5761826680487,50.91906806362,67.3050879999736,42.8185644012438,103.535438396027
"Estuary_3454",11845.2628629679,2006.25692083148,1993.28636110362,2019.22748055934,1786.71470051947,1283.85382778735,2873.61615816294
"Estuary_347",16696.7972962588,4111.62786354672,4100.13942001885,4123.1163070746,1234.85359868831,748.536196413416,2748.56317274441
"Estuary_3477",1226.60340381278,165.959440535869,162.271030624371,169.647850447368,226.811235399021,146.043927561933,344.950629242981
"Estuary_3480",3325.63631534102,443.16744564779,439.983108572543,446.351782723037,621.734558887557,451.911882849173,928.329791241575
"Estuary_3509",17728.0978042025,2368.04443910035,2363.78974508449,2372.29913311621,3308.66975878334,2417.5024391826,4916.56198390731
"Estuary_3525",0,0,0,0,0,0,0
"Estuary_354",7582.1648674364,1867.126957452,1860.93207115221,1873.3218437518,560.758054749805,339.738450727514,1248.79897799611
"Estuary_357",23731.7788986034,5844.00958098062,5835.40727254134,5852.61188941989,1755.14334014116,1065.33293550569,3901.48429139002
"Estuary_36",1032.58832157499,139.709199909096,139.169319877645,140.249079940547,190.935906542431,125.25238788988,285.173129212445
"Estuary_3601",328.381541136209,44.4300225157291,42.6419277574908,46.2181172739673,60.7210307714964,38.3777349817417,93.9768384570669
"Estuary_3632",485.189040419609,37.1994437289714,36.9430427044695,37.4558447534734,118.162938903792,86.9248063634577,163.043088926884
"Estuary_364",2868.75980051362,706.439236239484,703.10963877893,709.768833700037,212.166339482983,128.362224002317,473.148058938415
"Estuary_3666",201.979665076072,16.9147199554871,16.8144675530754,17.0149723578988,47.7611885985218,34.8007013535667,66.3708119350279
"Estuary_37",2036.29795284873,275.511113020433,274.798413031448,276.223813009417,376.531854461258,247.318571728303,561.655086452482
"Estuary_3715",148759.171585971,22291.5083486869,22236.6435923448,22346.3731050291,25342.6659848568,16963.3749594086,38856.1427611934
"Estuary_3718",8181.98995020739,634.844803017299,630.624997393271,639.064608641327,1985.11019893861,1458.81564388433,2741.22627554622
"Estuary_3729",49032.7971287392,4205.22114984159,4169.6368082434,4240.80549143979,11495.570818752,8428.7735364579,16053.0291131502
"Estuary_3744",57511.0035818713,12561.1970224406,12522.6169534744,12599.7770914067,5854.40143451044,3716.84361034204,11075.807686489
"Estuary_3785",9105.88961684873,698.747230663919,696.364715676661,701.129745651176,2217.04968354721,1636.50473986403,3048.76094764704
"Estuary_379",15.1179563878025,2.44827814972994,2.23809539113397,2.65846090832591,2.39264266520829,1.4279392677186,4.07875622291202
"Estuary_3837",413.298653426677,31.6876077582233,31.071644415835,32.3035711006117,100.654754055533,73.1097515666706,140.615544790898
"Estuary_3847",0,0,0,0,0,0,0
"Estuary_3855",26946.7996641672,2269.96473606946,2265.42847132004,2274.50100081888,6358.66998439353,4652.82762704601,8806.83566697514
"Estuary_3857",35623.1053837392,5038.3033324084,5018.22119984363,5058.38546497317,6368.57124251874,4169.8710994861,9619.9672691125
"Estuary_3859",7750.23009683964,682.005290770858,677.410173969395,686.60040757232,1799.69588853817,1301.51769766481,2515.602472468
"Estuary_3894",784.389557628475,60.1391473833752,59.5721861451212,60.7061086216292,191.030232864839,140.169849753226,264.250119882386
"Estuary_3904",1554.39964055682,119.175820441491,117.873835450836,120.477805432146,378.558488461207,277.350201060792,524.4328001164
"Estuary_3910",3535.74676284697,297.18874355776,289.68232042076,304.695166694759,834.992727373469,596.294143014475,1183.0628390343
"Estuary_3911",1713.08972206343,185.314676228384,172.289698332153,198.339654124614,363.233783673548,242.209118858211,554.145229622745
"Estuary_3913",67082.0346597787,6356.61562292876,6352.11919334972,6361.1120525078,15123.722695479,10905.5068760625,21189.5002783053
"Estuary_3916",1057.87651693884,214.962722521104,212.21182021093,217.713624831279,123.779916967881,78.2635603089042,222.005510873309
"Estuary_3922",39620.0859479774,3356.60488011311,3350.95530192234,3362.25445830388,9330.14284128872,6888.45905448551,12925.5933992814
"Estuary_3923",27005.5365944393,2143.47884673924,2136.80717282172,2150.15052065676,6503.96402616617,4787.26489913599,8967.6891523202
"Estuary_3924",221008.646834932,18367.2142593592,18341.011437713,18393.4170810054,52401.9645436543,38430.8596038509,72440.1409788299
"Estuary_3934",38296.251897734,3493.63067670318,3468.02243569714,3519.23891770921,8769.21214347024,6421.93335386333,12313.1323179358
"Estuary_3939",9855.13499605407,834.507493860309,831.824823273072,837.190164447547,2321.20528322616,1693.49048043686,3220.45801252928
"Estuary_3941",2966.6855064438,238.37505127371,235.427147464352,241.322955083067,711.587314744659,517.787311922124,991.291565050003
"Estuary_3944",11329.0096840213,1058.81990210288,1055.78606668304,1061.85373752272,2568.84228881759,1878.77174801359,3601.00744513473
"Estuary_3949",32416.1805979529,2487.71425148887,2482.35722135457,2493.07128162316,7892.27093778163,5832.92559877133,10839.5019955349
"Estuary_3953",19077.8355530139,2057.12268903903,2032.61853518175,2081.62684289632,4051.79103339154,2813.30085728408,5841.37433372167
"Estuary_3973",2004.17165286224,156.096383844526,154.275713604524,157.917054084528,485.659421118492,354.927381044626,674.208848104301
"Estuary_3990",1852.40337321755,376.412242769488,371.369174845411,381.455310693565,216.745841368504,136.960673460567,388.975109809917
"Estuary_3993",7046.37992097974,546.583666333996,543.805857991218,549.361474676774,1709.73764816293,1258.40119552384,2357.24033995883
"Estuary_401",1163.22133406441,286.446146751921,285.205655639785,287.686637864057,86.0289566288443,52.0681700787672,191.778460570479
"Estuary_4014",3327.52502560261,255.121343712952,253.840746879779,256.401940546125,810.38544473526,597.27234559948,1116.10256473019
"Estuary_4017",15205.1670676168,2947.76006290726,2935.11460785097,2960.40551796355,1921.08648381432,1345.83370886688,3306.71728879489
"Estuary_4021",23797.6182061343,3219.81774328997,3148.03832325469,3291.59716332525,4400.41758249629,2833.23449092922,6692.91423209468
"Estuary_4024",17352.9650610318,1820.57111251843,1813.0476506744,1828.09457436247,3736.02182967455,2662.33202728127,5323.16659156631
"Estuary_4027",0,0,0,0,0,0,0
"Estuary_4040",8954.18886173244,1475.00374942709,1471.21268615721,1478.79481269696,1392.21706598826,1000.85704663613,2205.53905836567
"Estuary_4043",14158.7373677782,1097.59331533979,1092.00023347382,1103.18639720576,3436.17597719645,2529.23887027523,4737.31194513385
"Estuary_4046",190.318247962872,14.6401422159203,14.5220994699782,14.7581849618623,46.3016639642711,34.0085317643698,63.9801122726776
"Estuary_4052",20686.1410173846,1710.05363427051,1697.65283295457,1722.45443558645,4913.85558090621,3581.57043096184,6828.91020243664
"Estuary_4058",12072.0188174,953.992656566282,947.456734981339,960.528578151226,2911.58848895338,2134.63568147994,4027.89240056503
"Estuary_4070",167.67146056423,13.5603849185493,13.4874531389902,13.6333166981084,40.1296934687226,29.3840268599828,55.550829809476
"Estuary_4071",10983.14886791,2353.14423318528,2338.54579937977,2367.74266699079,1163.76986580819,732.528461549398,2167.81566775752
"Estuary_4072",103057.374746557,8085.38483052639,8070.0830166266,8100.68664442618,24914.6171370687,18372.9067863231,34275.1364507113
"Estuary_4074",9453.26568245123,2672.08658429483,2659.31556376815,2684.85760482152,354.943619882872,185.80588124846,1213.39994513917
"Estuary_4087",15749.0827223208,1221.98182490279,1219.04379222382,1224.91985758177,3821.03195361155,2819.83874193056,5254.20168557028
"Estuary_4091",33216.1409899566,2587.39389262227,2584.11967829689,2590.66810694766,8048.74661377174,5943.94817950394,11058.8192130623
"Estuary_4095",5246.84526922071,414.454126267634,412.639875887772,416.268376647497,1265.63819738953,930.262310371297,1746.51559671539
"Estuary_4096",38983.6599381476,3003.3501785525,2999.83187369071,3006.86848341429,9479.60757024175,7010.56441407587,13011.157914283
"Estuary_4098",4526.41937250197,347.040573289726,345.423060077197,348.658086502256,1102.36417397913,812.760141358109,1517.68814124511
"Estuary_4103",42068.1994282786,3264.52632508406,3248.17672933493,3280.87592083319,10206.131813845,7512.13361287989,14070.8024612277
"Estuary_4104",23368.0030344534,1791.62479265154,1780.22917717545,1803.02040812763,5691.04345901078,4188.77453453048,7848.44177655557
"Estuary_4108",19835.1670292428,1520.76225613205,1515.68882791274,1525.83568435136,4830.6565783018,3566.32665391232,6641.8729789412
"Estuary_4123",25563.7124100217,2159.4680054168,2157.1772943709,2161.75871646269,6026.28834539624,4425.82822478213,8340.97373079754
"Estuary_4128",106383.714037108,11652.3502124898,11637.2822966956,11667.418128284,22412.7788593325,15735.0902130206,32049.9808920099
"Estuary_4136",2540.05440963702,343.669361623889,340.59934600356,346.739377244217,469.681460885981,306.539411403204,705.036733729908
"Estuary_4146",8563.40274250192,656.556088267622,649.758648963658,663.353527571586,2085.53110390892,1528.84387991449,2887.53888472337
"Estuary_4149",0,0,0,0,0,0,0
"Estuary_4155",48.2139850364285,5.66294907244448,5.51428494507789,5.81161319981106,9.77565107607028,6.59924728797094,14.4953512478194
"Estuary_4167",1393.39558664207,110.827903653601,109.968827148928,111.686980158274,335.351297145056,245.454806793571,464.609271431243
"Estuary_4168",17046.7146864404,1331.34177907352,1316.44679290341,1346.23676524362,4127.18673067157,3021.54100159235,5728.17790285652
"Estuary_4170",231.412967170847,27.1804922742153,26.3967848203934,27.9641997280372,46.9202539435618,31.5904804289494,69.7484301665592
"Estuary_4172",54658.7332709298,4403.73085372143,4399.01079148688,4408.45091595597,13098.542126963,9637.04932156519,18048.0836803353
"Estuary_4191",53947.1062233556,4219.28413657766,4198.75486508072,4239.8134080746,13055.118747203,9601.95095691024,18008.3445361946
"Estuary_4193",86278.9988261331,6650.93784170031,6644.3765575214,6657.49912587923,20976.4603724158,15513.4849081438,28787.1972278588
"Estuary_4211",22512.1068977533,1803.0121106624,1800.27306996033,1805.75115136447,5405.58963906719,3978.12266114441,7447.47833542255
"Estuary_4218",877.219733143898,103.033397268114,101.061735879778,105.005058656449,177.861133481894,120.946123217222,261.904079933021
"Estuary_4220",1241.25296612116,167.941526316193,165.739769935564,170.143282696821,229.520085965463,149.165792942008,345.958008150203
"Estuary_4224",24.9535728859479,2.93090920242096,2.47252244618231,3.3892959586596,5.05947437138843,2.95900324519509,8.4535969126753
"Estuary_4228",21208.2724164478,1691.33212499804,1685.66459778467,1696.9996522114,5099.76878547272,3748.07671336261,7036.25417380814
"Estuary_4234",85.3258745904817,6.57794675443562,6.43962412832571,6.71626938054553,20.7442515481825,15.0338498984031,29.0387020809484
"Estuary_4238",103.651935925624,9.62776112423013,8.73132499551093,10.5241972529493,23.5626252785139,15.4335004740574,35.9764529035086
"Estuary_4251",1663.84448052367,195.426006594442,192.546965704547,198.305047484337,337.353634514043,230.431516305114,494.613323129356
"Estuary_4270",3521.1238405115,476.408055621206,472.906872857347,479.909238385065,651.091009348981,425.616185571613,975.815451382965
"Estuary_4272",5651.71902816213,463.456619448148,459.204315309809,467.708923586488,1346.28033055965,980.352572209232,1873.0951458774
"Estuary_4294",1414.7314923476,108.467463518291,106.525682022853,110.409245013729,344.543707646335,250.648663583184,480.604948883289
"Estuary_4297",2000.5781303585,153.384325254586,152.509788292608,154.258862216565,487.220797867509,358.846560688489,671.479753177987
"Estuary_4298",5493.91012247022,954.743173297699,953.292338834934,956.194007760463,804.461787018492,579.815043183836,1301.98798820284
"Estuary_4312",3159.83559780223,427.525756382641,424.035698193067,431.015814572216,584.285200389609,381.63212837376,876.398822963505
"Estuary_4323",12945.1278337261,1064.51520062052,1062.43026890373,1066.60013233732,3080.6441830169,2275.44165659236,4256.61531287917
"Estuary_4331",15785.9635593494,1270.87727362234,1269.29444427783,1272.46010296684,3783.94611771695,2783.74900152663,5214.32619760423
"Estuary_4332",8230.24992943253,631.013262089592,629.58346245212,632.443061727065,2004.395067814,1481.37285282852,2752.98744516487
"Estuary_4333",24873.2184591618,1908.06931695819,1905.24772983277,1910.89090408361,6056.58396585,4479.69464487272,8312.42224398259
"Estuary_4336",14795.048429256,1236.91439101119,1235.41052586495,1238.41825615744,3500.60806652086,2563.32836925403,4841.000071758
"Estuary_4342",2154.2612743122,253.027661495973,250.550356738979,255.504966252967,436.788341151537,299.84735621719,637.281612533921
"Estuary_4351",8968.32822926209,732.306670417685,730.808226937985,733.805113897385,2139.44171187433,1578.19011307285,2954.41789359251
"Estuary_4356",15999.7400877981,1257.01550878231,1255.61553451657,1258.41548304805,3866.26126473151,2852.85682442113,5315.35109400554
"Estuary_436",7237.68723556331,2252.29589083495,2235.91148626376,2268.68029540614,65.2839388647811,0,723.347340564276
"Estuary_4365",4091.78543943028,480.598576146652,476.66268656112,484.534465732184,829.632039413317,570.448385039156,1208.52799919494
"Estuary_4383",4654.95058014614,369.552879889501,368.922981350545,370.182778428457,1121.0088453791,825.685491592319,1543.51180873551
"Estuary_4391",6842.04687644543,524.579734017071,522.843077662373,526.31639037177,1666.31209628952,1230.21900626441,2291.02428750064
"Estuary_4399",19349.407011525,1510.48703415185,1508.40283673656,1512.57123156715,4685.38658500857,3458.88579845447,6439.57629825767
"Estuary_4418",1797.9407939268,137.848120670368,134.71640598665,140.979835354085,437.870500952933,316.979778792117,613.676930364843
"Estuary_442",6281.33573640455,1546.79454842993,1543.31098838542,1550.27810847444,464.55196772417,281.7524037082,1033.45067155963
"Estuary_4425",23575.8798284595,1807.56270644799,1799.52962888228,1815.5957840137,5741.66977342303,4234.18736207595,7903.18164805965
"Estuary_4426",16096.6314239047,2177.87423165431,2160.59046270542,2195.15800060319,2976.42811659422,1944.53141643488,4463.48793455982
"Estuary_4436",40525.2580607228,3170.78663635878,3168.60747687363,3172.96579584392,9805.80624726528,7242.06084094801,13470.4358778082
"Estuary_444",4568.60016437993,1380.06949762582,1365.54447795242,1394.59451729921,82.8419610102817,28.5196185816826,500.138754932819
"Estuary_4441",7546.47150478454,666.171624213452,664.984700005897,667.358548421006,1750.28401633361,1271.53026450565,2435.30703826692
"Estuary_4466",29148.7806003226,2265.94320663032,2263.67191943957,2268.21449382107,7067.78782939897,5222.09416036592,9706.72771674099
"Estuary_4491",20746.8090283196,2807.04326153164,2792.53966517562,2821.54685788766,3836.29245742658,2513.28569865806,5737.14527770491
"Estuary_4498",22660.619697913,3065.98184512763,3047.24548812485,3084.71820213042,4190.1751883411,2742.52093931236,6272.26034433185
"Estuary_450",0,0,0,0,0,0,0
"Estuary_4504",13176.7283827551,1782.81135018676,1772.19799949474,1793.42470087878,2436.50884525524,1594.97819954526,3646.63022512019
"Estuary_4511",104778.8459014,8303.41824096434,8276.72299980317,8330.11348212551,25247.816005123,18572.1780963271,34810.423727366
"Estuary_4517",91.2603946534764,9.18964063062684,9.18601156860167,9.19326969265201,20.0328503413629,14.2650334224758,28.2756998294802
"Estuary_4525",14815.3753802606,2004.52028894926,1991.50812251482,2017.53245538371,2739.51106156399,1792.35731026334,4102.31599261354
"Estuary_4529",48575.6912044165,6572.29101995755,6548.19334672866,6596.38869318644,8982.13106060865,5893.37401205579,13412.6570094791
"Estuary_4540",67574.3029656827,5272.8751834109,5269.59041981981,5276.15994700199,16365.0923692304,12090.9140903554,22474.2862479223
"Estuary_4548",28642.4571845589,3875.32445707081,3850.35418338861,3900.29473075302,5296.27675799678,3465.31876504975,7930.59928586447
"Estuary_4558",29296.5379874487,2246.16556749769,2243.13418912121,2249.19694587417,7134.87886146325,5277.96279793225,9790.62199968756
"Estuary_456",3412.45077091631,840.32449000413,838.375558137557,842.273421870702,252.376371350983,153.056856649859,561.478633227733
"Estuary_4561",95138.552231217,12872.2461168837,12773.9438840126,12970.5483497547,17592.0696930743,11496.5494956113,26373.448311168
"Estuary_4570",78585.5986915798,6206.29312006149,6188.84726506579,6223.7389750572,18957.6014369693,13956.3648827977,26119.2376612885
"Estuary_4574",30541.6729037958,4100.12281463653,4064.81605401219,4135.42957526087,5679.62626588793,3718.92268818386,8507.11575412684
"Estuary_4576",2987.70553108695,229.067383068436,228.426747225474,229.708018911399,727.625805040916,537.474699354056,999.905494084913
"Estuary_4578",9762.47416354762,880.689835997672,877.168201396451,884.211470598893,2245.35201591191,1622.43567999338,3138.42690203524
"Estuary_4589",36513.7526304025,2808.13128416938,2806.17067395975,2810.09189437901,8883.9374456118,6573.86608775697,12185.9801306515
"Estuary_4608",0,0,0,0,0,0,0
"Estuary_4609",72449.0044462233,6687.648449403,6678.77623171575,6696.52066709025,16511.2472643222,11920.981057919,23076.7218053226
"Estuary_4610",10855.7470262395,1283.76026158392,1270.8111172882,1296.70940587965,2192.35849368823,1491.72642832031,3203.53790941978
"Estuary_4632",45407.8556380365,5780.24067026169,5764.28788937987,5796.19345114351,8759.80878359399,5876.4934665697,12891.0772910133
"Estuary_4652",11512.5492781536,981.832828965531,980.513463364877,983.152194566186,2704.60057539204,1975.04062612452,3748.06232597113
"Estuary_4667",4827.30112264836,370.10917707345,367.96674071058,372.25161343632,1175.64091540978,865.804095789599,1620.38937613457
"Estuary_4668",12000.3396989118,1623.64596126276,1614.32688361913,1632.96503890639,2218.98281372577,1452.89419525722,3320.36224577633
"Estuary_4684",56791.6037484324,7540.88413528274,7511.32883868965,7570.43943187583,10644.3553010028,7030.86864060323,15828.7540443572
"Estuary_4700",22003.3434271048,1705.31916512425,1700.25670524832,1710.38162500017,5340.37143366897,3939.35103815384,7346.81843473778
"Estuary_4715",50016.8743384115,6671.52189032146,6658.41418760629,6684.62959303662,9344.38144158129,6174.16158906214,13883.1265404213
"Estuary_472",0,0,0,0,0,0,0
"Estuary_473",6729.36466565457,2017.66895586414,2003.65621917206,2031.68169255623,137.140903725106,52.5538686007974,749.29758612816
"Estuary_4737",85721.3954826263,11183.6193827484,11162.3782257485,11204.8605397483,16265.2286647434,10832.1669638932,24042.8768396449
"Estuary_4750",41094.2125295732,4226.22974875576,4213.03391475591,4239.42558275561,8932.54804533888,6318.44417821475,12678.7103613226
"Estuary_4761",29379.0416022094,3254.95546849139,3246.88637396001,3263.02456302278,6152.50744295208,4293.04614947863,8824.31854758054
"Estuary_4874",852.67423052026,74.2219536849186,73.799552118232,74.6443552516053,198.812861669974,144.14994931915,277.293239436987
"Estuary_4902",84426.0878509637,6481.48884278714,6468.79742411807,6494.18026145621,20552.5887479699,15192.1194725315,28222.9773509136
"Estuary_4903",42257.9071793588,4143.94331795515,4139.90696607434,4147.97966983597,9387.46113994731,6712.75204049375,13211.9807959026
"Estuary_493",33596.8128819719,10449.1315366831,10404.3953866732,10493.867686693,308.903916253176,4.04001182626587,3353.6332297929
"Estuary_4930",8655.81611313961,1016.77494585419,1013.07068811317,1020.47920359522,1754.90393173424,1204.02416569433,2544.89631484721
"Estuary_4931",1353.30205279269,118.412198734858,116.175819516222,120.648577953494,314.928651589888,225.147088802107,445.249783950185
"Estuary_4939",1047.58324403032,87.1244073263975,86.7258448279603,87.5229698248348,248.322223244551,181.344419914644,344.382482372116
"Estuary_4968",20839.2151439326,1607.89801006453,1602.89951599147,1612.89650413759,5065.02707117413,3737.58371742207,6966.31343450461
"Estuary_497",17791.2842538252,5536.46974694785,5504.83233940867,5568.10715448704,160.477383969503,0,1775.33851302485
"Estuary_4992",3385.92893437688,281.123133034242,279.497655614744,282.74861045374,803.08517104258,586.317486331143,1114.90537709144
"Estuary_4998",6927.39239905467,531.123175235522,521.161212277351,541.085138193693,1687.09714486577,1226.26167594671,2355.3117780196
"Estuary_5011",36076.8103663679,3333.25739249269,3325.38437484071,3341.13041014467,8218.89805492197,5933.21560775285,11500.125169033
"Estuary_5014",21932.3287808209,5520.3558852873,5508.01913071284,5532.69263986175,1502.59511361936,930.804848725834,3488.67017900183
"Estuary_5046",65052.1300369174,5202.66529634447,5194.77147274845,5210.5591199405,15627.6772627769,11502.8064422329,21527.993585676
"Estuary_5062",16465.3818462397,1340.64375029597,1338.9835901316,1342.30391046035,3931.73617068843,2901.65193825627,5423.62154304218
"Estuary_5072",83851.4302250898,10738.5161645266,10719.952906931,10757.0794221222,16111.5503078494,10803.3548584704,23715.8752834343
"Estuary_5087",207183.376585561,25224.9225265202,25190.0685012461,25259.7765517943,41117.2664899423,28171.9721754735,59887.8416902816
"Estuary_5107",80820.8325814453,9084.18204073125,9069.02091812476,9099.34316333775,16795.4567601734,11684.1811855663,24125.6935514613
"Estuary_5108",147.261429072264,12.7898763615424,10.4625493187883,15.1172034042965,34.3647058416872,20.5053381539458,56.3179621047147
"Estuary_5115",38128.3426767392,3478.69675653797,3474.56638339084,3482.82712968509,8730.37985198068,6414.43534549405,12184.0056832018
"Estuary_5118",35990.7309625677,2759.40934290006,2751.41480666118,2767.40387913895,8765.18261862372,6473.91719214394,12046.3462974284
"Estuary_5128",14412.7488856103,1487.8979586533,1485.73269394917,1490.06322335744,3127.20836200797,2274.07022918399,4433.68105361283
"Estuary_514",14490.6629864021,2737.35997317107,2732.94306353481,2741.77688280734,1902.69522170475,1224.78246036248,3214.93216984614
"Estuary_5150",1213.18268323703,100.726779405147,99.0407022035132,102.41285660678,287.746447594184,207.763086358324,403.823892647826
"Estuary_5158",55572.3421769433,7403.4166589416,7389.4094542254,7417.42386365781,10391.4030295374,6882.22023373055,15433.1725914169
"Estuary_516",24603.2051179175,7557.30687161231,7532.708131011,7581.90561221362,320.885439196049,68.2908946136377,2548.36244999274
"Estuary_5171",13055.3112533891,1108.72763321742,1106.03796891533,1111.41729751951,3071.71358323029,2250.74736659241,4259.61104902718
"Estuary_5182",31173.3078367909,3459.78523867838,3450.55210440104,3469.01837295573,6522.21966374044,4542.29350771175,9358.96182987097
"Estuary_5199",19891.9290775051,1761.39718042252,1756.55150039846,1766.24286044657,4608.19742948538,3342.99892212024,6420.06284829848
"Estuary_5201",4.37791784632198,0.335654961277506,0.317212844055099,0.354097078499912,1.06619811229325,0.746383162482587,1.54136375347021
